Redshift,K-band mag,K-band dmag
 0.111, 21.031, 0.373
 0.101, 21.997, 0.751
 0.176, 15.025, 0.002
 0.190, 21.481, 0.524
 0.144, 14.661, 0.001
 0.174, 20.835, 0.319
 0.142, 21.564, 0.556
 0.190, 21.478, 0.523
 0.158, 20.352, 0.215
 0.112, 21.341, 0.472
 0.183, 20.154, 0.182
 0.184, 21.470, 0.520
 0.076, 21.507, 0.534
 0.187, 20.614, 0.267
 0.198, 21.067, 0.383
 0.057, 16.227, 0.005
 0.135, 20.358, 0.216
 0.176, 21.762, 0.640
 0.109, 20.687, 0.283
 0.148, 19.529, 0.106
 0.041, 21.082, 0.388
 0.175, 18.164, 0.031
 0.072, 21.914, 0.711
 0.162, 21.392, 0.491
 0.190, 21.683, 0.606
 0.166, 20.626, 0.270
 0.011, 16.112, 0.005
 0.036, 21.166, 0.414
 0.153, 21.526, 0.541
 0.085, 19.104, 0.073
 0.055, 13.640, 0.000
 0.118, 13.038, 0.000
 0.067, 21.652, 0.592
 0.132, 20.025, 0.163
 0.096, 21.862, 0.686
 0.129, 21.987, 0.746
 0.166, 21.539, 0.546
 0.172, 20.787, 0.307
 0.195, 19.091, 0.072
 0.123, 19.005, 0.067
 0.177, 20.783, 0.306
 0.188, 21.075, 0.386
 0.166, 17.649, 0.020
 0.187, 19.231, 0.082
 0.167, 20.988, 0.360
 0.133, 21.945, 0.725
 0.118, 21.969, 0.737
 0.172, 21.903, 0.705
 0.168, 16.975, 0.011
 0.006, 14.616, 0.001
 0.173, 20.586, 0.261
 0.164, 18.370, 0.038
 0.193, 21.768, 0.643
 0.186, 18.127, 0.030
 0.159, 21.222, 0.432
 0.069, 21.258, 0.444
 0.071, 21.698, 0.612
 0.127, 12.780, 0.000
 0.126, 21.113, 0.397
 0.166, 19.248, 0.083
 0.160, 19.710, 0.124
 0.152, 20.513, 0.246
 0.156, 21.614, 0.577
 0.186, 20.830, 0.318
 0.172, 20.785, 0.307
 0.198, 21.220, 0.431
 0.188, 21.913, 0.710
 0.028, 16.968, 0.010
 0.116, 17.122, 0.012
 0.116, 21.864, 0.687
 0.111, 20.865, 0.327
 0.135, 21.078, 0.387
 0.124, 18.485, 0.042
 0.113, 20.965, 0.354
 0.173, 19.705, 0.124
 0.152, 19.726, 0.126
 0.080, 19.911, 0.148
 0.192, 21.174, 0.416
 0.082, 20.960, 0.353
 0.186, 13.940, 0.001
 0.175, 20.383, 0.221
 0.190, 15.401, 0.002
 0.078, 21.845, 0.678
 0.096, 19.209, 0.080
 0.186, 19.041, 0.069
 0.195, 20.284, 0.203
 0.030, 20.154, 0.182
 0.167, 21.932, 0.719
 0.058, 19.832, 0.138
 0.074, 18.438, 0.040
 0.128, 19.256, 0.083
 0.089, 19.898, 0.146
 0.159, 20.213, 0.192
 0.163, 21.809, 0.661
 0.167, 20.551, 0.254
 0.169, 20.173, 0.185
 0.066, 21.637, 0.586
 0.130, 21.041, 0.376
 0.126, 21.671, 0.600
 0.098, 18.332, 0.036
 0.052, 21.675, 0.602
 0.106, 20.827, 0.317
 0.166, 19.484, 0.102
 0.142, 17.271, 0.014
 0.092, 19.637, 0.117
 0.105, 20.805, 0.312
 0.193, 20.863, 0.327
 0.023, 13.197, 0.000
 0.066, 21.540, 0.547
 0.197, 19.302, 0.087
 0.165, 20.879, 0.331
 0.167, 17.889, 0.024
 0.195, 20.308, 0.207
 0.112, 21.592, 0.567
 0.180, 21.432, 0.505
 0.129, 21.978, 0.741
 0.193, 18.766, 0.054
 0.169, 16.977, 0.011
 0.176, 21.472, 0.520
 0.080, 18.956, 0.064
 0.170, 17.334, 0.015
 0.189, 20.314, 0.209
 0.177, 18.073, 0.029
 0.176, 21.833, 0.672
 0.138, 17.596, 0.019
 0.188, 20.523, 0.248
 0.161, 21.934, 0.720
 0.174, 19.793, 0.134
 0.144, 21.195, 0.423
 0.168, 21.458, 0.515
 0.139, 19.707, 0.124
 0.134, 21.423, 0.502
 0.185, 20.144, 0.181
 0.156, 16.355, 0.006
 0.190, 19.325, 0.089
 0.144, 18.749, 0.053
 0.144, 20.410, 0.226
 0.155, 21.282, 0.452
 0.165, 20.925, 0.343
 0.155, 19.557, 0.109
 0.197, 18.770, 0.054
 0.106, 20.333, 0.212
 0.188, 19.505, 0.104
 0.184, 20.041, 0.165
 0.061, 13.433, 0.000
 0.115, 21.627, 0.582
 0.031, 20.867, 0.328
 0.185, 16.149, 0.005
 0.192, 19.813, 0.136
 0.185, 19.322, 0.088
 0.146, 21.477, 0.522
 0.107, 21.148, 0.408
 0.191, 18.194, 0.032
 0.165, 19.204, 0.080
 0.134, 18.482, 0.042
 0.070, 18.215, 0.033
 0.106, 19.774, 0.131
 0.103, 19.731, 0.127
 0.104, 16.733, 0.008
 0.199, 21.229, 0.434
 0.132, 21.628, 0.582
 0.199, 17.497, 0.017
 0.043, 16.054, 0.005
 0.158, 19.710, 0.124
 0.124, 20.665, 0.279
 0.191, 21.177, 0.417
 0.162, 21.051, 0.379
 0.109, 20.874, 0.330
 0.186, 20.966, 0.354
 0.188, 18.753, 0.053
 0.181, 17.608, 0.019
 0.184, 21.939, 0.722
 0.153, 19.578, 0.111
 0.139, 21.937, 0.721
 0.109, 20.951, 0.350
 0.161, 20.323, 0.210
 0.154, 20.874, 0.329
 0.138, 19.396, 0.094
 0.191, 20.166, 0.184
 0.137, 20.414, 0.227
 0.092, 21.348, 0.475
 0.047, 17.815, 0.023
 0.146, 21.433, 0.506
 0.185, 15.066, 0.002
 0.170, 21.416, 0.499
 0.112, 17.795, 0.022
 0.091, 18.012, 0.027
 0.036, 17.658, 0.020
 0.121, 18.976, 0.065
 0.191, 20.406, 0.225
 0.191, 21.759, 0.639
 0.078, 18.529, 0.044
 0.189, 19.824, 0.137
 0.182, 21.278, 0.450
 0.185, 21.391, 0.490
 0.191, 21.918, 0.713
 0.078, 14.544, 0.001
 0.157, 21.979, 0.742
 0.175, 21.737, 0.629
 0.143, 18.122, 0.030
 0.090, 20.622, 0.269
 0.067, 21.373, 0.484
 0.128, 21.277, 0.450
 0.183, 15.924, 0.004
 0.168, 20.373, 0.219
 0.103, 15.625, 0.003
 0.067, 20.853, 0.324
 0.168, 17.657, 0.020
 0.113, 18.490, 0.042
 0.164, 21.963, 0.734
 0.144, 20.947, 0.349
 0.115, 20.612, 0.267
 0.193, 18.547, 0.044
 0.148, 21.050, 0.378
 0.155, 21.332, 0.469
 0.199, 21.373, 0.484
 0.144, 20.962, 0.353
 0.074, 20.074, 0.170
 0.197, 18.763, 0.054
 0.190, 20.933, 0.345
 0.130, 17.868, 0.024
 0.114, 21.793, 0.654
 0.167, 12.752, 0.000
 0.165, 20.493, 0.242
 0.165, 19.449, 0.099
 0.186, 20.002, 0.160
 0.085, 19.498, 0.103
 0.145, 20.360, 0.217
 0.194, 18.552, 0.044
 0.137, 19.606, 0.114
 0.054, 21.822, 0.667
 0.189, 16.836, 0.009
 0.149, 21.798, 0.656
 0.103, 21.596, 0.569
 0.190, 17.409, 0.016
 0.091, 20.366, 0.218
 0.191, 20.193, 0.188
 0.086, 18.888, 0.060
 0.168, 19.535, 0.107
 0.183, 20.514, 0.246
 0.118, 20.303, 0.207
 0.170, 19.986, 0.158
 0.168, 19.078, 0.071
 0.116, 20.507, 0.245
 0.119, 18.264, 0.034
 0.197, 21.266, 0.446
 0.075, 19.092, 0.072
 0.195, 21.438, 0.507
 0.101, 16.982, 0.011
 0.097, 21.720, 0.622
 0.079, 17.051, 0.011
 0.191, 19.677, 0.121
 0.134, 17.163, 0.013
 0.131, 19.508, 0.104
 0.152, 21.441, 0.508
 0.113, 21.519, 0.539
 0.169, 17.659, 0.020
 0.160, 19.088, 0.072
 0.148, 20.017, 0.162
 0.059, 21.216, 0.430
 0.189, 20.389, 0.222
 0.124, 14.382, 0.001
 0.086, 21.581, 0.563
 0.134, 19.905, 0.147
 0.147, 20.807, 0.312
 0.151, 15.963, 0.004
 0.197, 20.063, 0.169
 0.187, 17.807, 0.023
 0.193, 19.005, 0.067
 0.175, 19.882, 0.144
 0.135, 21.666, 0.599
 0.118, 21.749, 0.634
 0.113, 19.889, 0.145
 0.189, 17.652, 0.020
 0.149, 21.420, 0.501
 0.179, 17.699, 0.020
 0.169, 20.225, 0.193
 0.145, 20.681, 0.282
 0.162, 21.079, 0.387
 0.156, 18.176, 0.032
 0.171, 21.246, 0.440
 0.139, 13.353, 0.000
 0.187, 16.393, 0.006
 0.191, 21.102, 0.394
 0.179, 15.372, 0.002
 0.131, 21.309, 0.461
 0.159, 21.121, 0.400
 0.063, 16.453, 0.007
 0.110, 19.907, 0.147
 0.196, 16.245, 0.005
 0.175, 18.084, 0.029
 0.158, 21.971, 0.738
 0.156, 19.203, 0.080
 0.127, 20.099, 0.174
 0.135, 21.675, 0.602
 0.051, 13.230, 0.000
 0.141, 19.181, 0.078
 0.150, 19.892, 0.146
 0.125, 21.179, 0.418
 0.078, 20.300, 0.206
 0.173, 19.410, 0.096
 0.169, 20.122, 0.177
 0.163, 20.960, 0.353
 0.113, 21.638, 0.586
 0.169, 19.455, 0.099
 0.167, 20.116, 0.176
 0.139, 21.124, 0.401
 0.130, 21.759, 0.639
 0.070, 20.885, 0.332
 0.087, 21.376, 0.485
 0.117, 14.396, 0.001
 0.158, 20.464, 0.236
 0.116, 17.010, 0.011
 0.178, 20.325, 0.210
 0.143, 19.601, 0.113
 0.150, 19.957, 0.154
 0.115, 18.685, 0.050
 0.144, 20.314, 0.208
 0.135, 16.095, 0.005
 0.169, 18.738, 0.053
 0.111, 20.013, 0.161
 0.054, 19.599, 0.113
 0.199, 18.885, 0.060
 0.163, 19.109, 0.073
 0.168, 21.683, 0.606
 0.151, 21.965, 0.735
 0.166, 20.315, 0.209
 0.116, 19.558, 0.109
 0.188, 19.154, 0.076
 0.193, 20.041, 0.165
 0.049, 19.743, 0.128
 0.147, 21.545, 0.549
 0.105, 20.852, 0.324
 0.199, 19.144, 0.076
 0.184, 21.075, 0.386
 0.189, 14.801, 0.001
 0.170, 21.768, 0.643
 0.140, 17.193, 0.013
 0.114, 19.876, 0.144
 0.174, 18.195, 0.032
 0.190, 21.090, 0.390
 0.166, 20.573, 0.258
 0.148, 19.981, 0.157
 0.136, 21.700, 0.613
 0.103, 20.194, 0.188
 0.091, 21.587, 0.566
 0.106, 20.608, 0.266
 0.162, 17.715, 0.021
 0.073, 18.315, 0.036
 0.130, 20.090, 0.172
 0.181, 19.136, 0.075
 0.158, 14.995, 0.002
 0.184, 21.074, 0.385
 0.094, 16.033, 0.004
 0.137, 21.806, 0.660
 0.076, 20.138, 0.180
 0.085, 19.432, 0.097
 0.135, 21.695, 0.611
 0.178, 21.225, 0.433
 0.172, 17.309, 0.014
 0.174, 21.441, 0.509
 0.178, 19.626, 0.116
 0.029, 17.128, 0.012
 0.101, 19.649, 0.118
 0.163, 19.723, 0.126
 0.156, 19.408, 0.095
 0.182, 19.579, 0.111
 0.167, 20.597, 0.263
 0.111, 20.215, 0.192
 0.183, 18.432, 0.040
 0.138, 19.017, 0.067
 0.133, 15.366, 0.002
 0.184, 20.024, 0.163
 0.135, 16.795, 0.009
 0.130, 21.227, 0.434
 0.178, 16.857, 0.009
 0.110, 17.846, 0.023
 0.153, 19.437, 0.098
 0.148, 21.014, 0.368
 0.104, 19.914, 0.148
 0.145, 21.294, 0.456
 0.119, 16.627, 0.008
 0.142, 21.064, 0.382
 0.104, 19.846, 0.140
 0.171, 17.767, 0.022
 0.156, 21.886, 0.697
 0.084, 17.902, 0.025
 0.184, 18.916, 0.062
 0.151, 17.606, 0.019
 0.151, 17.196, 0.013
 0.181, 21.426, 0.503
 0.122, 21.127, 0.402
 0.067, 19.783, 0.132
 0.122, 17.959, 0.026
 0.144, 16.785, 0.009
 0.076, 21.093, 0.391
 0.102, 21.048, 0.378
 0.168, 21.795, 0.655
 0.166, 18.322, 0.036
 0.129, 21.053, 0.379
 0.076, 21.131, 0.403
 0.101, 20.031, 0.164
 0.114, 16.788, 0.009
 0.162, 18.404, 0.039
 0.056, 16.580, 0.007
 0.075, 21.694, 0.610
 0.194, 19.468, 0.101
 0.196, 19.365, 0.092
 0.158, 17.184, 0.013
 0.028, 17.991, 0.027
 0.185, 20.383, 0.221
 0.158, 19.886, 0.145
 0.195, 20.360, 0.217
 0.128, 21.318, 0.464
 0.141, 20.697, 0.286
 0.181, 21.887, 0.698
 0.045, 18.748, 0.053
 0.051, 20.750, 0.298
 0.142, 20.408, 0.226
 0.191, 15.918, 0.004
 0.067, 19.782, 0.132
 0.147, 21.187, 0.421
 0.197, 21.906, 0.707
 0.174, 18.097, 0.029
 0.164, 13.302, 0.000
 0.130, 15.878, 0.004
 0.152, 19.971, 0.156
 0.033, 19.563, 0.109
 0.090, 20.493, 0.242
 0.194, 18.715, 0.051
 0.155, 16.179, 0.005
 0.151, 19.697, 0.123
 0.057, 19.724, 0.126
 0.178, 20.063, 0.169
 0.157, 21.088, 0.390
 0.156, 16.571, 0.007
 0.104, 18.393, 0.038
 0.168, 20.777, 0.305
 0.104, 19.217, 0.081
 0.128, 19.822, 0.137
 0.132, 21.586, 0.565
 0.175, 21.904, 0.706
 0.164, 18.274, 0.035
 0.087, 19.281, 0.085
 0.048, 20.139, 0.180
 0.084, 14.862, 0.002
 0.191, 13.542, 0.000
 0.179, 19.870, 0.143
 0.150, 16.441, 0.006
 0.116, 19.983, 0.157
 0.184, 18.767, 0.054
 0.178, 19.327, 0.089
 0.098, 21.390, 0.490
 0.085, 20.861, 0.326
 0.148, 21.638, 0.587
 0.034, 17.712, 0.021
 0.034, 21.171, 0.415
 0.134, 14.513, 0.001
 0.090, 21.265, 0.446
 0.161, 21.915, 0.711
 0.118, 17.900, 0.025
 0.138, 20.316, 0.209
 0.165, 21.422, 0.501
 0.114, 21.242, 0.438
 0.193, 21.882, 0.695
 0.199, 21.391, 0.490
 0.065, 21.515, 0.537
 0.117, 20.352, 0.215
 0.164, 18.892, 0.060
 0.162, 21.949, 0.728
 0.142, 17.600, 0.019
 0.184, 21.960, 0.733
 0.049, 21.774, 0.646
 0.148, 20.196, 0.189
 0.191, 21.436, 0.507
 0.124, 19.346, 0.090
 0.173, 21.160, 0.412
 0.157, 17.736, 0.021
 0.121, 20.248, 0.197
 0.025, 19.472, 0.101
 0.135, 20.879, 0.331
 0.095, 21.114, 0.397
 0.157, 20.723, 0.292
 0.161, 14.804, 0.001
 0.149, 17.259, 0.014
 0.124, 20.109, 0.175
 0.060, 18.360, 0.037
 0.138, 14.710, 0.001
 0.074, 20.100, 0.174
 0.116, 18.061, 0.028
 0.084, 19.179, 0.078
 0.159, 19.582, 0.111
 0.185, 21.652, 0.593
 0.071, 21.260, 0.444
 0.041, 21.902, 0.705
 0.184, 17.669, 0.020
 0.133, 20.832, 0.319
 0.163, 18.975, 0.065
 0.188, 20.189, 0.188
 0.043, 21.270, 0.448
 0.153, 18.051, 0.028
 0.162, 19.051, 0.070
 0.077, 19.606, 0.114
 0.093, 20.424, 0.228
 0.174, 21.447, 0.511
 0.140, 21.185, 0.420
 0.025, 19.608, 0.114
 0.191, 21.162, 0.412
 0.127, 18.924, 0.062
 0.120, 20.437, 0.231
 0.151, 21.878, 0.693
 0.198, 19.548, 0.108
 0.075, 21.023, 0.370
 0.162, 21.115, 0.398
 0.078, 20.136, 0.179
 0.072, 20.440, 0.232
 0.189, 20.031, 0.164
 0.092, 17.573, 0.018
 0.055, 21.213, 0.429
 0.198, 20.577, 0.259
 0.052, 19.632, 0.116
 0.150, 18.266, 0.034
 0.095, 21.496, 0.529
 0.150, 21.768, 0.643
 0.184, 20.156, 0.182
 0.069, 19.550, 0.108
 0.152, 19.364, 0.092
 0.096, 21.007, 0.366
 0.178, 18.044, 0.028
 0.191, 18.656, 0.049
 0.140, 17.807, 0.023
 0.164, 18.517, 0.043
 0.095, 19.871, 0.143
 0.131, 21.869, 0.689
 0.134, 16.850, 0.009
 0.095, 19.373, 0.093
 0.145, 18.297, 0.035
 0.163, 16.582, 0.007
 0.081, 19.623, 0.115
 0.196, 21.678, 0.604
 0.030, 20.522, 0.248
 0.155, 19.497, 0.103
 0.094, 21.981, 0.743
 0.122, 17.508, 0.017
 0.133, 18.641, 0.048
 0.178, 20.689, 0.284
 0.159, 17.569, 0.018
 0.109, 20.456, 0.235
 0.161, 20.668, 0.279
 0.135, 21.046, 0.377
 0.106, 19.414, 0.096
 0.168, 21.721, 0.622
 0.123, 20.121, 0.177
 0.133, 20.898, 0.336
 0.126, 20.265, 0.200
 0.071, 21.625, 0.581
 0.154, 15.752, 0.003
 0.166, 21.202, 0.425
 0.159, 21.336, 0.471
 0.042, 13.396, 0.000
 0.083, 21.675, 0.602
 0.183, 19.001, 0.066
 0.173, 19.967, 0.155
 0.190, 17.335, 0.015
 0.145, 21.636, 0.586
 0.196, 20.338, 0.213
 0.053, 19.290, 0.086
 0.059, 21.048, 0.378
 0.112, 18.777, 0.054
 0.088, 21.260, 0.444
 0.142, 18.229, 0.033
 0.198, 21.001, 0.364
 0.113, 14.207, 0.001
 0.146, 21.807, 0.660
 0.147, 21.673, 0.601
 0.178, 21.325, 0.467
 0.177, 20.155, 0.182
 0.119, 20.915, 0.340
 0.076, 18.421, 0.039
 0.105, 18.795, 0.055
 0.161, 16.196, 0.005
 0.168, 20.347, 0.214
 0.133, 19.276, 0.085
 0.068, 20.757, 0.300
 0.085, 21.929, 0.717
 0.199, 20.246, 0.197
 0.111, 21.616, 0.578
 0.051, 21.192, 0.422
 0.136, 21.411, 0.497
 0.137, 21.287, 0.453
 0.150, 20.566, 0.257
 0.039, 19.473, 0.101
 0.074, 21.894, 0.701
 0.161, 21.063, 0.382
 0.159, 21.899, 0.703
 0.157, 20.685, 0.283
 0.136, 19.260, 0.084
 0.151, 16.649, 0.008
 0.111, 21.888, 0.698
 0.118, 18.409, 0.039
 0.151, 17.537, 0.018
 0.160, 16.219, 0.005
 0.090, 16.009, 0.004
 0.115, 20.858, 0.325
 0.190, 21.734, 0.628
 0.105, 21.882, 0.695
 0.157, 21.389, 0.489
 0.138, 21.918, 0.712
 0.044, 10.003, 0.000
 0.069, 20.344, 0.214
 0.114, 19.355, 0.091
 0.098, 19.924, 0.150
 0.161, 17.986, 0.027
 0.083, 20.778, 0.305
 0.167, 21.354, 0.477
 0.193, 21.305, 0.460
 0.163, 20.374, 0.219
 0.107, 20.890, 0.334
 0.024, 19.889, 0.145
 0.185, 20.170, 0.185
 0.179, 21.378, 0.485
 0.087, 19.129, 0.075
 0.126, 16.446, 0.006
 0.154, 17.867, 0.024
 0.072, 21.087, 0.389
 0.112, 20.396, 0.223
 0.180, 19.017, 0.067
 0.183, 19.366, 0.092
 0.114, 17.040, 0.011
 0.148, 16.973, 0.011
 0.194, 18.758, 0.053
 0.073, 17.833, 0.023
 0.140, 19.560, 0.109
 0.087, 21.376, 0.485
 0.196, 17.195, 0.013
 0.129, 19.989, 0.158
 0.150, 19.608, 0.114
 0.152, 21.847, 0.679
 0.149, 19.840, 0.139
 0.158, 19.578, 0.111
 0.098, 21.711, 0.617
 0.177, 20.834, 0.319
 0.175, 21.613, 0.576
 0.196, 19.282, 0.085
 0.118, 21.881, 0.695
 0.190, 19.003, 0.067
 0.187, 17.690, 0.020
 0.105, 21.245, 0.439
 0.122, 21.092, 0.391
 0.145, 21.129, 0.402
 0.197, 21.979, 0.742
 0.027, 19.865, 0.142
 0.183, 19.265, 0.084
 0.105, 18.648, 0.048
 0.172, 21.002, 0.364
 0.092, 21.084, 0.388
 0.044, 19.815, 0.136
 0.061, 21.103, 0.394
 0.074, 20.937, 0.346
 0.157, 20.575, 0.259
 0.193, 20.230, 0.194
 0.196, 20.532, 0.250
 0.083, 19.950, 0.153
 0.157, 21.167, 0.414
 0.138, 21.393, 0.491
 0.189, 21.640, 0.588
 0.126, 20.623, 0.269
 0.120, 21.611, 0.575
 0.097, 21.074, 0.385
 0.157, 16.095, 0.005
 0.185, 20.392, 0.222
 0.124, 20.061, 0.168
 0.186, 15.503, 0.003
 0.183, 16.415, 0.006
 0.148, 19.824, 0.137
 0.171, 18.421, 0.039
 0.136, 18.785, 0.055
 0.047, 21.880, 0.694
 0.176, 19.023, 0.068
 0.109, 18.321, 0.036
 0.168, 20.659, 0.277
 0.072, 21.574, 0.560
 0.120, 19.759, 0.130
 0.179, 19.455, 0.099
 0.190, 21.665, 0.598
 0.158, 21.711, 0.618
 0.055, 19.165, 0.077
 0.184, 19.255, 0.083
 0.189, 21.848, 0.679
 0.170, 18.325, 0.036
 0.156, 20.278, 0.202
 0.050, 14.283, 0.001
 0.151, 21.939, 0.723
 0.122, 21.559, 0.554
 0.082, 19.191, 0.079
 0.129, 19.537, 0.107
 0.022, 15.902, 0.004
 0.116, 21.097, 0.392
 0.190, 18.707, 0.051
 0.157, 21.987, 0.746
 0.148, 20.353, 0.215
 0.161, 19.040, 0.069
 0.141, 20.841, 0.321
 0.100, 20.243, 0.196
 0.174, 15.526, 0.003
 0.171, 21.667, 0.599
 0.183, 20.728, 0.293
 0.197, 21.590, 0.567
 0.173, 19.979, 0.157
 0.136, 19.834, 0.139
 0.116, 21.907, 0.707
 0.105, 18.646, 0.048
 0.107, 18.327, 0.036
 0.172, 20.083, 0.172
 0.068, 21.811, 0.662
 0.186, 16.528, 0.007
 0.091, 19.124, 0.074
 0.068, 20.202, 0.190
 0.191, 17.336, 0.015
 0.165, 21.464, 0.517
 0.069, 15.899, 0.004
 0.198, 19.753, 0.129
 0.103, 21.241, 0.438
 0.177, 18.379, 0.038
 0.184, 19.844, 0.140
 0.076, 19.463, 0.100
 0.186, 21.336, 0.471
 0.182, 21.602, 0.572
 0.030, 14.386, 0.001
 0.141, 20.601, 0.264
 0.148, 21.748, 0.634
 0.045, 19.707, 0.124
 0.104, 20.930, 0.344
 0.183, 21.240, 0.438
 0.185, 21.675, 0.602
 0.148, 20.900, 0.336
 0.123, 19.391, 0.094
 0.154, 20.874, 0.330
 0.173, 20.149, 0.181
 0.164, 21.883, 0.696
 0.180, 21.854, 0.682
 0.182, 21.379, 0.486
 0.080, 20.689, 0.284
 0.117, 14.817, 0.001
 0.188, 20.341, 0.213
 0.088, 21.515, 0.537
 0.189, 21.036, 0.374
 0.153, 19.101, 0.073
 0.189, 19.601, 0.113
 0.131, 20.804, 0.312
 0.044, 17.516, 0.017
 0.115, 19.829, 0.138
 0.072, 18.405, 0.039
 0.146, 21.152, 0.409
 0.165, 19.730, 0.127
 0.167, 20.377, 0.220
 0.084, 20.303, 0.206
 0.177, 21.780, 0.648
 0.198, 20.072, 0.170
 0.139, 20.799, 0.310
 0.152, 20.663, 0.278
 0.053, 21.897, 0.702
 0.134, 21.545, 0.549
 0.158, 20.336, 0.212
 0.172, 20.971, 0.356
 0.141, 21.855, 0.682
 0.054, 20.413, 0.226
 0.149, 15.331, 0.002
 0.100, 19.713, 0.125
 0.133, 18.358, 0.037
 0.070, 20.179, 0.186
 0.119, 21.461, 0.516
 0.171, 21.697, 0.612
 0.185, 21.339, 0.472
 0.095, 17.287, 0.014
 0.189, 20.814, 0.314
 0.129, 21.862, 0.686
 0.119, 18.262, 0.034
 0.152, 21.183, 0.419
 0.114, 21.931, 0.719
 0.091, 20.992, 0.361
 0.196, 21.038, 0.375
 0.192, 20.369, 0.218
 0.164, 21.021, 0.370
 0.153, 19.650, 0.118
 0.046, 21.076, 0.386
 0.051, 20.545, 0.253
 0.144, 19.819, 0.137
 0.095, 14.955, 0.002
 0.181, 21.722, 0.623
 0.106, 20.072, 0.170
 0.107, 18.381, 0.038
 0.094, 16.945, 0.010
 0.195, 21.567, 0.558
 0.194, 21.588, 0.566
 0.118, 14.933, 0.002
 0.105, 20.143, 0.180
 0.192, 21.087, 0.389
 0.101, 18.816, 0.056
 0.115, 20.308, 0.207
 0.127, 18.070, 0.029
 0.119, 19.243, 0.082
 0.099, 19.046, 0.069
 0.157, 20.916, 0.341
 0.097, 19.222, 0.081
 0.095, 20.086, 0.172
 0.075, 19.143, 0.075
 0.186, 19.604, 0.113
 0.079, 18.691, 0.050
 0.193, 21.045, 0.377
 0.144, 21.214, 0.429
 0.156, 21.745, 0.633
 0.130, 21.394, 0.491
 0.165, 19.400, 0.095
 0.086, 18.723, 0.052
 0.092, 21.861, 0.685
 0.112, 20.222, 0.193
 0.128, 20.897, 0.335
 0.132, 21.476, 0.522
 0.118, 20.287, 0.204
 0.198, 19.936, 0.151
 0.108, 20.185, 0.187
 0.127, 15.926, 0.004
 0.079, 20.555, 0.255
 0.144, 17.408, 0.016
 0.081, 20.134, 0.179
 0.188, 21.476, 0.522
 0.185, 19.887, 0.145
 0.193, 21.949, 0.727
 0.177, 18.090, 0.029
 0.138, 21.060, 0.381
 0.191, 20.436, 0.231
 0.065, 19.841, 0.139
 0.194, 20.846, 0.322
 0.096, 17.931, 0.025
 0.198, 21.050, 0.378
 0.136, 21.672, 0.601
 0.153, 21.972, 0.739
 0.090, 12.392, 0.000
 0.167, 16.570, 0.007
 0.193, 20.911, 0.339
 0.176, 19.047, 0.069
 0.190, 21.969, 0.737
 0.027, 21.427, 0.504
 0.089, 19.421, 0.096
 0.108, 21.684, 0.606
 0.180, 21.400, 0.493
 0.189, 20.868, 0.328
 0.143, 19.285, 0.086
 0.175, 21.659, 0.595
 0.126, 21.041, 0.376
 0.146, 21.510, 0.535
 0.131, 17.691, 0.020
 0.160, 20.987, 0.360
 0.075, 19.887, 0.145
 0.184, 19.128, 0.074
 0.159, 21.377, 0.485
 0.170, 21.430, 0.505
 0.066, 20.638, 0.272
 0.168, 18.392, 0.038
 0.154, 15.038, 0.002
 0.096, 17.228, 0.013
 0.088, 19.987, 0.158
 0.076, 17.892, 0.024
 0.164, 18.512, 0.043
 0.176, 21.692, 0.609
 0.140, 17.391, 0.015
 0.181, 16.290, 0.006
 0.144, 17.631, 0.019
 0.145, 20.818, 0.315
 0.166, 19.263, 0.084
 0.125, 21.561, 0.555
 0.110, 21.463, 0.517
 0.190, 20.427, 0.229
 0.194, 18.789, 0.055
 0.191, 20.327, 0.211
 0.045, 21.966, 0.736
 0.167, 21.434, 0.506
 0.198, 16.981, 0.011
 0.093, 21.054, 0.380
 0.197, 21.276, 0.450
 0.171, 21.090, 0.390
 0.111, 19.614, 0.114
 0.184, 17.587, 0.018
 0.200, 21.435, 0.506
 0.186, 16.429, 0.006
 0.169, 19.310, 0.088
 0.085, 17.670, 0.020
 0.060, 21.996, 0.751
 0.128, 19.620, 0.115
 0.165, 21.660, 0.596
 0.114, 17.169, 0.013
 0.142, 20.636, 0.272
 0.169, 16.388, 0.006
 0.089, 20.363, 0.217
 0.185, 20.225, 0.193
 0.070, 18.829, 0.057
 0.163, 21.794, 0.655
 0.199, 15.809, 0.004
 0.161, 17.644, 0.019
 0.042, 16.124, 0.005
 0.153, 21.630, 0.583
 0.155, 20.645, 0.274
 0.096, 21.112, 0.397
 0.129, 20.515, 0.246
 0.115, 20.347, 0.214
 0.196, 21.698, 0.612
 0.129, 17.012, 0.011
 0.172, 21.470, 0.519
 0.156, 17.429, 0.016
 0.151, 17.226, 0.013
 0.125, 18.847, 0.058
 0.064, 18.469, 0.041
 0.057, 20.769, 0.303
 0.161, 20.438, 0.231
 0.149, 21.004, 0.365
 0.095, 20.933, 0.345
 0.131, 19.747, 0.128
 0.104, 19.708, 0.124
 0.068, 21.708, 0.616
 0.104, 19.233, 0.082
 0.013, 19.787, 0.133
 0.109, 18.512, 0.043
 0.015, 18.776, 0.054
 0.175, 21.663, 0.597
 0.078, 17.389, 0.015
 0.153, 21.075, 0.386
 0.147, 21.720, 0.622
 0.137, 21.843, 0.677
 0.197, 19.949, 0.153
 0.034, 21.347, 0.475
 0.117, 17.111, 0.012
